candidate_id,prefilter_score,prefilter_return_pct,prefilter_max_dd_pct,prefilter_profit_factor,prefilter_trades,params_json,ema_fast_period,ema_slow_period,rsi_period,atr_period,vp_tactical_lookback,vp_macro_lookback,vp_bins,breakout_lookback,rsi_rank_lookback,ema_slope_lookback,min_body_ratio,min_vol_ratio,min_break_dist_atr,min_node_percentile,min_room_to_target_atr,min_rsi_percentile_long,max_rsi_percentile_short,min_close_position_long,max_close_position_short,stop_atr_buffer,tp_fraction_to_next_level
56,52.61304028687784,52.16074186353633,-8.98378969794209,1.7614361730262278,102,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":250,""ema_slope_lookback"":20,""ema_slow_period"":600,""max_close_position_short"":0.45,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.03,""min_close_position_long"":0.55,""min_node_percentile"":0.65,""min_room_to_target_atr"":1.25,""min_rsi_percentile_long"":0.45,""min_vol_ratio"":0.8,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":1.0,""vp_bins"":24,""vp_macro_lookback"":750,""vp_tactical_lookback"":336}",250,600,14,14,336,750,24,20,50,20,0.8,0.8,0.03,0.65,1.25,0.45,0.65,0.55,0.45,0.3,1.0
1,50.34493317878324,50.819562428637475,-10.08875581046026,1.774337722702912,103,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":300,""ema_slope_lookback"":20,""ema_slow_period"":900,""max_close_position_short"":0.5,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.03,""min_close_position_long"":0.5,""min_node_percentile"":0.35,""min_room_to_target_atr"":0.5,""min_rsi_percentile_long"":0.35,""min_vol_ratio"":0.5,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":1.0,""vp_bins"":24,""vp_macro_lookback"":750,""vp_tactical_lookback"":336}",300,900,14,14,336,750,24,20,50,20,0.8,0.5,0.03,0.35,0.5,0.35,0.65,0.5,0.5,0.3,1.0
120,48.170003745636805,48.62816396706168,-9.921912843874026,1.7284220732557476,100,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":250,""ema_slope_lookback"":20,""ema_slow_period"":600,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.55,""min_body_ratio"":0.8,""min_break_dist_atr"":0.02,""min_close_position_long"":0.55,""min_node_percentile"":0.65,""min_room_to_target_atr"":0.75,""min_rsi_percentile_long"":0.25,""min_vol_ratio"":0.8,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.75,""tp_fraction_to_next_level"":1.0,""vp_bins"":16,""vp_macro_lookback"":750,""vp_tactical_lookback"":252}",250,600,14,14,252,750,16,20,50,20,0.8,0.8,0.02,0.65,0.75,0.25,0.55,0.55,0.4,0.75,1.0
88,47.55289523020026,47.21776678591492,-8.983789669935538,1.7982022355250444,96,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":900,""max_close_position_short"":0.45,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.02,""min_close_position_long"":0.6,""min_node_percentile"":0.5,""min_room_to_target_atr"":0.75,""min_rsi_percentile_long"":0.45,""min_vol_ratio"":0.5,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":1.0,""vp_bins"":16,""vp_macro_lookback"":1000,""vp_tactical_lookback"":336}",200,900,14,14,336,1000,16,20,50,20,0.8,0.5,0.02,0.5,0.75,0.45,0.65,0.6,0.45,0.3,1.0
36,45.48232256554775,45.20385536325401,-8.983789559992427,1.741580979797702,93,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":300,""ema_slope_lookback"":20,""ema_slow_period"":600,""max_close_position_short"":0.5,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.02,""min_close_position_long"":0.6,""min_node_percentile"":0.65,""min_room_to_target_atr"":0.75,""min_rsi_percentile_long"":0.45,""min_vol_ratio"":1.0,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.75,""tp_fraction_to_next_level"":1.0,""vp_bins"":24,""vp_macro_lookback"":1000,""vp_tactical_lookback"":252}",300,600,14,14,252,1000,24,20,50,20,0.8,1.0,0.02,0.65,0.75,0.45,0.65,0.6,0.5,0.75,1.0
28,44.91151175625138,45.36554099689885,-9.584705054662468,1.701997908842056,99,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":300,""ema_slope_lookback"":20,""ema_slow_period"":600,""max_close_position_short"":0.5,""max_rsi_percentile_short"":0.75,""min_body_ratio"":0.8,""min_break_dist_atr"":0.03,""min_close_position_long"":0.5,""min_node_percentile"":0.5,""min_room_to_target_atr"":0.5,""min_rsi_percentile_long"":0.45,""min_vol_ratio"":1.0,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":1.0,""vp_bins"":24,""vp_macro_lookback"":1000,""vp_tactical_lookback"":252}",300,600,14,14,252,1000,24,20,50,20,0.8,1.0,0.03,0.5,0.5,0.45,0.75,0.5,0.5,0.3,1.0
119,42.11833516013675,44.131951657266875,-11.259484786643203,1.7520067071655985,105,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":600,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.03,""min_close_position_long"":0.6,""min_node_percentile"":0.65,""min_room_to_target_atr"":1.0,""min_rsi_percentile_long"":0.35,""min_vol_ratio"":0.8,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.75,""tp_fraction_to_next_level"":0.85,""vp_bins"":16,""vp_macro_lookback"":750,""vp_tactical_lookback"":252}",200,600,14,14,252,750,16,20,50,20,0.8,0.8,0.03,0.65,1.0,0.35,0.65,0.6,0.4,0.75,0.85
27,39.49347159569786,40.532807965185945,-9.920197409634767,1.6187800631741627,96,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":300,""ema_slope_lookback"":20,""ema_slow_period"":900,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.55,""min_body_ratio"":0.8,""min_break_dist_atr"":0.0,""min_close_position_long"":0.5,""min_node_percentile"":0.65,""min_room_to_target_atr"":0.5,""min_rsi_percentile_long"":0.25,""min_vol_ratio"":0.8,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":1.0,""vp_bins"":16,""vp_macro_lookback"":1000,""vp_tactical_lookback"":252}",300,900,14,14,252,1000,16,20,50,20,0.8,0.8,0.0,0.65,0.5,0.25,0.55,0.5,0.4,0.3,1.0
70,38.91159462499183,39.74991357728011,-9.118216081558739,1.6721195847088355,105,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":750,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.05,""min_close_position_long"":0.55,""min_node_percentile"":0.5,""min_room_to_target_atr"":1.25,""min_rsi_percentile_long"":0.45,""min_vol_ratio"":0.8,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":0.85,""vp_bins"":16,""vp_macro_lookback"":750,""vp_tactical_lookback"":252}",200,750,14,14,252,750,16,20,50,20,0.8,0.8,0.05,0.5,1.25,0.45,0.65,0.55,0.4,0.3,0.85
115,36.94221053482217,38.40892807642719,-9.914466320563387,1.5368269411881492,102,"{""atr_period"":14,""breakout_lookback"":20,""ema_fast_period"":200,""ema_slope_lookback"":20,""ema_slow_period"":750,""max_close_position_short"":0.4,""max_rsi_percentile_short"":0.65,""min_body_ratio"":0.8,""min_break_dist_atr"":0.0,""min_close_position_long"":0.5,""min_node_percentile"":0.65,""min_room_to_target_atr"":1.25,""min_rsi_percentile_long"":0.25,""min_vol_ratio"":0.5,""rsi_period"":14,""rsi_rank_lookback"":50,""stop_atr_buffer"":0.3,""tp_fraction_to_next_level"":1.0,""vp_bins"":24,""vp_macro_lookback"":750,""vp_tactical_lookback"":336}",200,750,14,14,336,750,24,20,50,20,0.8,0.5,0.0,0.65,1.25,0.25,0.65,0.5,0.4,0.3,1.0
